marker-color,marker-size,name,icon,longitude,latitude
,,JIJOCA DE JERICOACOARA,West,-40.461273193359375,-2.906010344442771
,,PACUJÁ,West,-40.69473266601562,-3.980710893919806
,,GRAÇA,West,-40.755157470703125,-4.047152127258027
,,IBIAPINA,West,-40.892486572265625,-3.921114708363267
,,FRECHEIRINHA,West,-40.82588195800781,-3.755319262354653
#7e7e7e,medium,UBAJARA,West,-40.91377258300781,-3.8526081005143284
#7e7e7e,medium,SÃO JOSÉ DO TORTO,West,-40.616455078125,-3.781355377813875
#7e7e7e,medium,MUCAMBO,West,-40.74554443359374,-3.903303526451104
#7e7e7e,medium,CARIRÉ,West,-40.47157287597656,-3.9485157850410473
#7e7e7e,medium,GROÍRAS,West,-40.38917541503906,-3.9122091647384383
#7e7e7e,medium,RERIUTABA,West,-40.57456970214844,-4.1389279389996405
#7e7e7e,medium,VARJOTA,West,-40.47294616699219,-4.195768831033331
#7e7e7e,medium,PIRES FERREIRA,West,-40.63224792480469,-4.245073244271891
#7e7e7e,medium,HIDROLÂNDIA,West,-40.41526794433594,-4.408029113837139
#7e7e7e,medium,NOVA RUSSAS,West,-40.5615234375,-4.7050910542706355
#7e7e7e,medium,TAMBORIL,West,-40.31639099121094,-4.830996577036115
#7e7e7e,medium,ASSENTAMENTO NOVA CANAÃ,West,-39.3145751953125,-5.358990533628934
#7e7e7e,medium,AURORA,West,-38.9630126953125,-6.940059334882694
#7e7e7e,medium,GRANJEIRO,West,-39.208831787109375,-6.885527022341312
#7e7e7e,medium,MISSÃO VELHA,West,-39.1387939453125,-7.249409128798532
#7e7e7e,medium,SÍTIO GAMALEIRA,West,-38.9630126953125,-7.279379022306316
#7e7e7e,medium,MILAGRES,West,-38.946533203125,-7.312071167657926
#7e7e7e,medium,NOVA OLINDA,West,-39.68124389648437,-7.092716048631412
#7e7e7e,medium,TARRAFAS,West,-39.75952148437499,-6.6809754212657575
#7e7e7e,medium,IBICATU,West,-39.49859619140625,-6.777807336581071
#7e7e7e,medium,FARIAS BRITO,West,-39.5672607421875,-6.926426847059551
#7e7e7e,medium,ALTANEIRA,West,-39.738922119140625,-6.990496101016948
#7e7e7e,medium,CEDRO,West,-39.07012939453125,-6.597766481039653
#7e7e7e,medium,POTENGI,West,-40.0286865234375,-7.089990476360545
#7e7e7e,medium,ARARRIPE,West,-40.12481689453125,-7.211262744763912
#7e7e7e,medium,PORTEIRAS,West,-39.115447998046875,-7.53131857976111
#7e7e7e,medium,JARDIM,West,-39.28985595703125,-7.584411640986814
#7e7e7e,medium,BARRO,West,-38.772125244140625,-7.167662943071209
#7e7e7e,medium,IPAUMIRIM,West,-38.725433349609375,-6.788716761000514
